"Path","Name","Modified","Size","LineCount","Sha1","First5"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260427_1650_before_legacy_visual_output_isolation.pine","smc_core_detector_L0_completion_rule_reachable_20260427_1650_before_legacy_visual_output_isolation.pine","2026-04-27 16:38:38","72900","1273","A89C8C0F019DB757A7D3BD301922F77724E979B8","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260427_1658_before_legacy_calculation_audit.pine","smc_core_detector_L0_completion_rule_reachable_20260427_1658_before_legacy_calculation_audit.pine","2026-04-27 16:51:05","68573","1253","49A251BEF0A79041D4F9559E912028B56ADC51CE","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260427_1706_before_engine_state_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260427_1706_before_engine_state_prune.pine","2026-04-27 16:51:05","68573","1253","49A251BEF0A79041D4F9559E912028B56ADC51CE","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260427_1746_before_legacy_visual_compat_cleanup.pine","smc_core_detector_L0_completion_rule_reachable_20260427_1746_before_legacy_visual_compat_cleanup.pine","2026-04-27 17:07:11","68240","1241","06778386C7D24445629C9A84175138494F5267C9","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_0813_after_last_primary_break_compat_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_0813_after_last_primary_break_compat_prune.pine","2026-04-28 08:16:35","62670","1035","9206EEBAC68EBC48F7C92E65CD82E196ABF1DB0A","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_0813_before_last_primary_break_compat_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_0813_before_last_primary_break_compat_prune.pine","2026-04-27 17:50:07","63105","1047","B5CD2FD22A75CA2C8FA67DAB84A24E09B60318E8","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_0940_rebase_audit_1035_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260428_0940_rebase_audit_1035_snapshot.pine","2026-04-28 08:16:35","62670","1035","9206EEBAC68EBC48F7C92E65CD82E196ABF1DB0A","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1059_after_impulse_engine_state_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1059_after_impulse_engine_state_prune.pine","2026-04-28 11:02:15","62527","1030","91B20029E29474C3AA4BD9C00DFE83A4268678A7","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1059_before_impulse_engine_state_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1059_before_impulse_engine_state_prune.pine","2026-04-28 08:16:35","62670","1035","9206EEBAC68EBC48F7C92E65CD82E196ABF1DB0A","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1110_after_silent_legacy_execution_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1110_after_silent_legacy_execution_prune.pine","2026-04-28 11:12:18","40935","619","2B6B7A8737C3925B52CE9F3F6CEE188A5EB244EC","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1110_before_silent_legacy_execution_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1110_before_silent_legacy_execution_prune.pine","2026-04-28 11:02:15","62527","1030","91B20029E29474C3AA4BD9C00DFE83A4268678A7","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1135_after_unused_legacy_declarations_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1135_after_unused_legacy_declarations_prune.pine","2026-04-28 11:36:50","38675","549","2F092DBC44098B4AFC926F85CDE806875997B72D","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1135_before_unused_legacy_declarations_prune.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1135_before_unused_legacy_declarations_prune.pine","2026-04-28 11:12:18","40935","619","2B6B7A8737C3925B52CE9F3F6CEE188A5EB244EC","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1151_rebase_audit_502_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1151_rebase_audit_502_snapshot.pine","2026-04-28 11:36:50","38675","549","2F092DBC44098B4AFC926F85CDE806875997B72D","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
